"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","63","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","104","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","51","1","0.000000","0","0"
"/Game/VFX/Materials/PostPro/Source/PP_Kuwahara.PP_Kuwahara","0","6","0","1","0.000000","0","0"
"/Game/VFX/test/M_Sky.M_Sky","0","0","6","1","0.000000","0","0"
"/Game/VFX/test/M_Moon.M_Moon","0","0","23","1","0.000000","0","0"
"/Game/VFX/Materials/PostPro/M_MasterStylized.M_MasterStylized","0","0","23","1","0.000000","0","0"
"/Game/VFX/Materials/M_VFX_Rock.M_VFX_Rock","0","0","42","1","0.000000","0","0"
"/Game/VFX/Effects/Toon/PostProcessing/PP_M_CantoonEffect_V2.PP_M_CantoonEffect_V2","0","0","6","1","0.000000","0","0"
"/Game/VFX/M_Sky.M_Sky","0","0","4","1","0.000000","0","0"
"/Game/lighthouse/models/M_flatVertexColor.M_flatVertexColor","0","0","42","1","0.000000","0","0"
"","0","1","0","1","0.000000","5","0"
"/Game/Imports/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","42","1","0.000000","0","0"
"/Game/Environment/NewMaterial.NewMaterial","0","0","46","1","0.000000","0","0"
"/Game/3d/New_Map/Sky_mat.Sky_mat","0","0","23","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","14","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","4","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","80","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","80","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","80","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","13","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","13","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","75","2","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","104","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","56","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","38","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","160","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","181","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","1551","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","66","6","0.000000","0","9"
"/Game/VFX/_Shared/Materials/Source/M_VFX_AdvUI.M_VFX_AdvUI","0","0","122","2","0.000000","0","122"
"/Game/VFX/_Shared/Materials/Source/M_VFX_AdvRibbon.M_VFX_AdvRibbon","0","0","108","2","0.000000","0","0"
"/Game/VFX/_Shared/Materials/Source/M_PP_ScreenInk.M_PP_ScreenInk","0","0","6","1","0.000000","0","0"
"/Game/VFX/Materials/M_AdvParticle.M_AdvParticle","0","0","284","2","0.000000","0","0"
"/Game/VFX/test/M_Moon_2.M_Moon_2","0","0","44","1","0.000000","0","0"
"/Game/VFX/Materials/M_VFX_Fresnel.M_VFX_Fresnel","0","0","42","1","0.000000","0","0"
"/Game/lighthouse/materials/PP_squiglify.PP_squiglify","0","0","6","1","0.000000","0","0"
"/Game/Environment/lastTest.lastTest","0","0","23","1","0.000000","0","0"
"/Game/Environment/Mat_Blend.Mat_Blend","0","0","23","1","0.000000","0","0"
"/Game/3d/Test/Full_low_hairs_BaseColor_Mat.Full_low_hairs_BaseColor_Mat","0","0","42","1","0.000000","0","0"
"/Game/3d/Test/Full_low_face_BaseColor_Mat.Full_low_face_BaseColor_Mat","0","0","42","1","0.000000","0","0"
"/Game/3d/Test/Full_low_eyes_BaseColor_Mat.Full_low_eyes_BaseColor_Mat","0","0","42","1","0.000000","0","0"
"/Game/3d/Test/Full_low_clothes_BaseColor_Mat.Full_low_clothes_BaseColor_Mat","0","0","42","1","0.000000","0","0"
"/Game/3d/Test/Full_low_body_BaseColor_Mat.Full_low_body_BaseColor_Mat","0","0","42","1","0.000000","0","0"
"/Game/3d/Test/anchormat.anchormat","0","0","14","1","0.000000","0","0"
"/Game/3d/New_Map/Rock/Rock_rock_tex_BaseColor_Mat.Rock_rock_tex_BaseColor_Mat","0","0","28","1","0.000000","0","0"
"/Game/3d/New_Map/Props_Master_Mat.Props_Master_Mat","0","0","23","1","0.000000","0","0"
"/Game/3d/New_Map/Arena/terrain_wall_mat.terrain_wall_mat","0","0","14","1","0.000000","0","0"
"/Game/3d/New_Map/Arena/terrain_ground_mat.terrain_ground_mat","0","0","14","1","0.000000","0","0"
"/Game/3d/New_Map/Arena/ruins_mat.ruins_mat","0","0","14","1","0.000000","0","0"
"/Game/3d/New_Map/Rocks_Master_Material.Rocks_Master_Material","0","0","14","1","0.000000","0","0"
"/Game/3d/New_Map/Bamboo_mat.Bamboo_mat","0","0","28","1","0.000000","0","0"
"/Game/3d/Map02/ground_ground_BaseColor_Utility_-_sRGB_-_Texture_Mat.ground_ground_BaseColor_Utility_-_sRGB_-_Texture_Mat","0","0","4","1","0.000000","0","0"
